step,covered_frac
252,0.920494
253,0.921593
254,0.922693
255,0.923792
256,0.924891
257,0.925991
258,0.927040
259,0.928090
260,0.929139
261,0.930188
262,0.931188
263,0.932187
264,0.933187
265,0.934186
266,0.935186
267,0.936185
268,0.937185
269,0.938134
270,0.939084
271,0.940033
272,0.940982
273,0.941882
274,0.942781
275,0.943681
276,0.944580
277,0.945480
278,0.946330
279,0.947179
280,0.948029
281,0.948878
282,0.949728
283,0.950527
284,0.951327
285,0.952126
286,0.952926
287,0.953725
288,0.954525
289,0.955325
290,0.956124
291,0.956874
292,0.957573
293,0.958273
294,0.958973
295,0.959672
296,0.960372
297,0.961071
298,0.961771
299,0.962471
300,0.963120
301,0.963770
302,0.964420
303,0.965069
304,0.965719
305,0.966368
306,0.967018
307,0.967618
308,0.968217
309,0.968817
310,0.969417
311,0.970016
312,0.970616
313,0.971216
314,0.971766
315,0.972315
316,0.972865
317,0.973415
318,0.973964
319,0.974514
320,0.975064
321,0.975613
322,0.976113
323,0.976613
324,0.977113
325,0.977612
326,0.978112
327,0.978612
328,0.979111
329,0.979611
330,0.980111
331,0.980561
332,0.981010
333,0.981460
334,0.981910
335,0.982360
336,0.982809
337,0.983259
338,0.983709
339,0.984159
340,0.984558
341,0.984958
342,0.985358
343,0.985758
344,0.986158
345,0.986557
346,0.986957
347,0.987307
348,0.987657
349,0.988007
350,0.988356
351,0.988706
352,0.989056
353,0.989406
354,0.989756
355,0.990105
356,0.990455
357,0.990805
358,0.991105
359,0.991405
360,0.991705
361,0.992004
362,0.992304
363,0.992604
364,0.992904
365,0.993154
366,0.993404
367,0.993653
368,0.993903
369,0.994153
370,0.994403
371,0.994653
372,0.994903
373,0.995153
374,0.995403
375,0.995602
376,0.995802
377,0.996002
378,0.996202
379,0.996402
380,0.996602
381,0.996802
382,0.997002
383,0.997202
384,0.997401
385,0.997601
386,0.997801
387,0.997951
388,0.998101
389,0.998251
390,0.998401
391,0.998551
392,0.998701
393,0.998851
394,0.999001
395,0.999150
396,0.999300
397,0.999400
398,0.999500
399,0.999600
400,0.999700
401,0.999800
402,0.999900
403,1.000000
